Teacher ID,Grade-Section,Subject,Periods Per Week,Fixed Periods,Mode,Combined Group
AKH,Grade-III-A;Grade-IV-A;Grade-V-A;Grade-V-B,MTH,6,,
AKH,Grade-IV-B,MTH,6,1,
APA,Grade-I-A,ENG,6,1,
APA,Grade-I-B;Grade-II-A;Grade-II-B;Grade-III-B,ENG,6,,
DEE,Grade-IV-A;Grade-IV-B;Grade-V-A,SCI,5,,
DEE,Grade-V-B,SCI,5,1,
DIV,Grade-III-A;Grade-IV-B;Grade-V-A;Grade-V-B,ENG,6,,
DIV,Grade-IV-A,ENG,6,1,
MAN,Grade-VI-A;Grade-VI-B;Grade-VII-A;Grade-IX-A;Grade-X-A,SOC,5,,
MAN,Grade-VIII-A,SOC,5,1,
MOU,Grade-I-A;Grade-I-B;Grade-II-A;Grade-II-B,TEL,6,,
PRA,Grade-I-A;Grade-II-A;Grade-II-B;Grade-III-A;Grade-III-B,CSC,4,,
PRA,Grade-I-B,CSC,4,1,
PRA,Grade-IV-A;Grade-IV-B,CSC,4,0-1;5-6,
ROJ,Grade-VI-A,MTH,5,1,
ROJ,Grade-VI-B;Grade-VII-A;Grade-VIII-A;Grade-IX-A;Grade-X-A,MTH,5,,
SAI,Grade-I-A;Grade-I-B;Grade-II-B,EVS,5,,
SAI,Grade-II-A,EVS,5,1,
SAI,Grade-III-A;Grade-III-B,SCI,5,,
SAM,Grade-VI-A;Grade-VII-A;Grade-VIII-A;Grade-IX-A;Grade-X-A,ENG,5,,
SAM,Grade-VI-B,ENG,5,1,
SAR,Grade-I-A;Grade-I-B;Grade-II-A;Grade-III-B,MTH,6,,
SAR,Grade-II-B,MTH,6,1,
SHA,Grade-V-A;Grade-V-B;Grade-VI-A;Grade-VI-B;Grade-VII-A;Grade-VIII-A;Grade-X-A,HIN2,2,,
SHA,Grade-V-A;Grade-V-B;Grade-VI-A;Grade-VI-B;Grade-VII-A;Grade-VIII-A;Grade-X-A,HIN3,2,,
SHA,Grade-IX-A,HIT,5,,
SHA,Grade-IX-A,HIN,5,,
SHRA,Grade-VII-A,MTHI,2,,
SMR,Grade-V-A;Grade-V-B;Grade-VI-A;Grade-VI-B;Grade-VII-A,CSC,4,0-1;5-6,
SMR,Grade-VIII-A;Grade-IX-A;Grade-X-A,CSC,2,0-1;5-6,
SRI,Grade-III-A;Grade-IV-A;Grade-IV-B;Grade-V-A;Grade-V-B,SOC,5,,
SRI,Grade-III-B,SOC,5,1,
SRP,Grade-VI-A;Grade-VI-B;Grade-VII-A;Grade-VIII-A,SCI,5,,
SRP,Grade-VI-A;Grade-VI-B;Grade-VIII-A,SCII,2,,
SRP,Grade-VII-A,SCII,2,1,
SRP,Grade-IX-A;Grade-X-A,BIO,3,,
SRU,Grade-VI-A;Grade-VI-B;Grade-VIII-A,MTHI,2,,
SRU,Grade-IX-A,PHCH,5,,
SRU,Grade-X-A,PHCH,5,1,
SUK,Grade-V-A;Grade-V-B;Grade-VI-A;Grade-VI-B;Grade-VII-A;Grade-VIII-A;Grade-X-A,TEL2,2,,
SUK,Grade-V-A;Grade-V-B;Grade-VI-A;Grade-VI-B;Grade-VII-A;Grade-VIII-A;Grade-X-A,TEL3,2,,
SUK,Grade-IX-A,HIT,5,1,
SUR,Grade-I-A;Grade-I-B;Grade-II-A;Grade-II-B;Grade-III-A;Grade-III-B;Grade-IV-A;Grade-IV-B;Grade-V-A;Grade-V-B;Grade-VI-A;Grade-VI-B;Grade-VII-A;Grade-VIII-A;Grade-IX-A;Grade-X-A,PT,2,,
SUS,Grade-I-A;Grade-I-B;Grade-II-A;Grade-II-B,HIN,6,,
UMA,Grade-III-A,HIT2,1,1,
UMA,Grade-III-B,HIT2,1,,
UMA,Grade-IV-A;Grade-IV-B;Grade-V-A;Grade-V-B;Grade-VI-A;Grade-VI-B;Grade-VII-A;Grade-VIII-A,HIT,2,,
UMA,Grade-IV-A;Grade-IV-B,HIT3,2,,
